neutral,method,learner,budget,seed,gap,qualified,mean_partner_return,bits
0,diagnostic_uniform,search,4096,50010,0,1,0.997826086957,101101
0,diagnostic_uniform,search,4096,50011,0,1,0.997826086957,101101
0,diagnostic_uniform,search,4096,50012,0,1,0.997826086957,101101
0,diagnostic_uniform,search,4096,50013,0,1,0.997826086957,101101
0,diagnostic_uniform,search,4096,50014,0,1,0.997826086957,101101
0,diagnostic_uniform,search,4096,50015,0,1,0.997826086957,101101
0,diagnostic_uniform,search,4096,50016,0,1,0.997826086957,101101
0,diagnostic_uniform,search,4096,50017,0,1,0.997826086957,101101
0,diagnostic_uniform,search,4096,50018,0,1,0.997826086957,101101
0,diagnostic_uniform,search,4096,50019,0,1,0.997826086957,101101
0,diagnostic_uniform,search,4096,50020,0,1,0.997826086957,101101
0,diagnostic_uniform,search,4096,50021,0,1,0.997826086957,101101
0,diagnostic_uniform,search,4096,50022,0,1,0.997826086957,101101
0,diagnostic_uniform,search,4096,50023,0,1,0.997826086957,101101
0,diagnostic_uniform,reinforce,256,50000,0.055,0,0.59347826087,001001
0,diagnostic_uniform,reinforce,256,50001,0.12,0,0.556956521739,111011
0,diagnostic_uniform,reinforce,256,50002,0.0783333333333,0,0.556956521739,111111
0,diagnostic_uniform,reinforce,256,50003,0.161666666667,0,0.404782608696,111110
0,diagnostic_uniform,reinforce,256,50004,0.133333333333,0,0.40652173913,110100
0,diagnostic_uniform,reinforce,256,50005,0.03,0,0.551739130435,100101
0,diagnostic_uniform,reinforce,256,50006,0.101666666667,0,0.508260869565,000111
0,diagnostic_uniform,reinforce,256,50007,0,1,0.59347826087,101101
0,diagnostic_uniform,reinforce,256,50008,0.075,0,0.600434782609,011001
0,diagnostic_uniform,reinforce,256,50009,0.0416666666667,0,0.59347826087,101001
0,diagnostic_uniform,reinforce,256,50010,0.055,0,0.59347826087,001001
0,diagnostic_uniform,reinforce,256,50011,0.113333333333,0,0.55,001011
0,diagnostic_uniform,reinforce,256,50012,0.0716666666667,0,0.55,001111
0,diagnostic_uniform,reinforce,256,50013,0.188333333333,0,0.40652173913,010000
0,diagnostic_uniform,reinforce,256,50014,0.15,0,0.515217391304,110011
