seed,dimension,epsilon,direct,balanced,coverage,error
25,4,0.217,0.0203384047554,0.0203384047554,0.0203384047554,1.11022302463e-16
26,5,0.413,0.0563074948959,0.0563074948959,0.0784100429718,8.32667268469e-17
27,6,0.071,0.0485926407303,0.0485926407303,0.0485926407303,9.02056207508e-17
28,3,0.217,0.0801432326273,0.0801432326273,0.0801432326273,4.16333634234e-17
29,4,0.413,0.136018601389,0.136018601389,0.136018601389,0
30,5,0.071,0.0145530164929,0.0145530164929,0.0145530164929,8.32667268469e-17
31,6,0.217,0.0424713812581,0.0424713812581,0.0424713812581,2.63677968348e-16
32,3,0.413,0.0785141016886,0.0785141016886,0.0785141016886,8.32667268469e-17
33,4,0.071,0.04142284671,0.04142284671,0.04142284671,0
34,5,0.217,0.0323642727276,0.0323642727276,0.0323642727276,1.2490009027e-16
35,6,0.413,0.0751739302275,0.0751739302275,0.120077714222,1.38777878078e-17
36,3,0.071,0.0942305587078,0.0942305587078,0.0942305587078,1.38777878078e-17
37,4,0.217,0.100946557607,0.100946557607,0.104229796287,8.32667268469e-17
38,5,0.413,0.0920622182433,0.0920622182433,0.103032630101,6.93889390391e-17
39,6,0.071,0.0185587765413,0.0185587765413,0.0185587765413,1.04083408559e-17
40,3,0.217,0.0673386992111,0.0673386992111,0.070387206107,1.38777878078e-16
41,4,0.413,0.0897443056423,0.0897443056423,0.163569900218,8.32667268469e-17
42,5,0.071,0.00484905309481,0.00484905309481,0.00484905309481,1.11022302463e-16
43,6,0.217,0.0214247959761,0.0214247959761,0.0214247959761,1.49186218934e-16
44,3,0.413,0.132251669571,0.132251669571,0.132251669571,8.32667268469e-17
45,4,0.071,0.0410290701377,0.0410290701377,0.0410290701377,2.77555756156e-17
46,5,0.217,0.0323838696132,0.0323838696132,0.0323838696132,9.02056207508e-17
47,6,0.413,0.0254820777417,0.0254820777417,0.0254820777417,1.00613961607e-16
48,3,0.071,0.0605561202317,0.0605561202317,0.0605561202317,1.17961196366e-16
49,4,0.217,0.100881170961,0.100881170961,0.100881170961,1.11022302463e-16
50,5,0.413,0.0267691695677,0.0267691695677,0.0456394126678,6.93889390391e-18
51,6,0.071,0.0281844878661,0.0281844878661,0.0281844878661,1.73472347598e-17
52,3,0.217,0.0711577418939,0.0711577418939,0.0711577418939,6.93889390391e-17
53,4,0.413,0.0660838980587,0.0660838980587,0.0660838980587,2.08166817117e-16
54,5,0.071,0.0237478649838,0.0237478649838,0.0237478649838,3.46944695195e-18
55,6,0.217,0.080018088017,0.080018088017,0.0811396217007,8.32667268469e-17
56,3,0.413,0.0356827084669,0.0356827084669,0.0356827084669,5.55111512313e-17
57,4,0.071,0.035915695939,0.035915695939,0.035915695939,6.93889390391e-18
58,5,0.217,0.0351817240899,0.0351817240899,0.0351817240899,1.66533453694e-16
59,6,0.413,0.0421510176348,0.0421510176348,0.0421510176348,9.02056207508e-17
60,3,0.071,0.062102821703,0.062102821703,0.062102821703,6.93889390391e-18
61,4,0.217,0.0334961102575,0.0334961102575,0.0334961102575,1.73472347598e-16
62,5,0.413,0.0527135796808,0.0527135796808,0.0788608653308,1.2490009027e-16
63,6,0.071,0.0369435120409,0.0369435120409,0.0369435120409,1.52655665886e-16
64,3,0.217,0.0819517464898,0.0819517464898,0.0819517464898,0
65,4,0.413,0.0620799180796,0.0620799180796,0.0620799180796,4.16333634234e-17
66,5,0.071,0.0236684250114,0.0236684250114,0.0236684250114,0
67,6,0.217,0.0265306152731,0.0265306152731,0.0265306152731,1.35308431126e-16
68,3,0.413,0.0592416019271,0.0592416019271,0.0592416019271,4.85722573274e-17
69,4,0.071,0.0403444679401,0.0403444679401,0.0403444679401,2.08166817117e-16
70,5,0.217,0.0488322746821,0.0488322746821,0.0488322746821,1.38777878078e-17
71,6,0.413,0.0890760159831,0.0890760159831,0.0908624576797,1.38777878078e-16
72,3,0.071,0.0469570621091,0.0469570621091,0.0469570621091,8.32667268469e-17
73,4,0.217,0.04204302748,0.04204302748,0.04204302748,9.02056207508e-17
74,5,0.413,0.0628991391498,0.0628991391498,0.0962330361239,2.77555756156e-17
75,6,0.071,0.0254929556507,0.0254929556507,0.0254929556507,4.85722573274e-17
